"sci_name","mean_density","median_density","min_density","max_density"
"Otocyon megalotis",37.3171591758728,9.90033307483088,0,6646.62744140625
"Lupulella mesomelas",49.4547472000122,12.2715286646208,0,6646.62744140625
"Pusa caspica",136.911407470703,7.22410825183915,0,5209.26025390625
"Panthera pardus",458.609706215236,35.5794164438227,0,29819.701171875
"Civettictis civetta",408.605331420898,183.535207301825,0,17154.5390625
"Mustela lutreola",63.3378035227458,16.2690488958133,0,11588.5341796875
"Pusa sibirica",3.51720523834229,0.984514991810261,0,676.918701171875
"Procyon lotor",17.413583278656,1.64300283731702,0,11672.90234375
"Panthera leo",28.767080453726,11.1695395018201,0,29819.701171875
"Mustela putorius",89.9656448364258,26.7745882187826,0,11588.5341796875
