"ID_num","R2_quadratic","AIC_quadratic","AICc_quadratic","BIC_quadratic","R2_log_quadratic","AIC_log_quadratic","AICc_log_quadratic","BIC_log_quadratic","R2_log_logistic","AIC_log_logistic","AICc_log_logistic","BIC_log_logistic","R2_logistic","AIC_logistic","AICc_logistic","BIC_logistic","R2_log_gompertz","AIC_log_gompertz","AICc_log_gompertz","BIC_log_gompertz","R2_gompertz","AIC_gompertz","AICc_gompertz","BIC_gompertz","weight_gompertz","weight_logistic","weight_log_logistic","weight_quadratic","weight_log_quadratic","weight_log_gompertz"
261,0.723411814212887,1693.98715918134,1696.38715918134,1703.94170466027,0.969739342274701,152.015698328796,154.415698328796,161.970243807724,0.928053670545318,50.825703072564,53.225703072564,60.7802485514926,-118.276401554869,1658.08626125306,1660.48626125306,1668.04080673199,0.921940957315017,60.0832152844829,64.5276597289273,72.5263971331436,-597.673569968811,1803.66755730125,1808.1120017457,1816.11073914991,0,0.996498228323982,1.06010345299174e-22,0,0,0.0035017716760184
246,0.723411814212887,1693.98715918134,1697.41573060991,1703.94170466027,0.969739342274701,152.015698328796,155.444269757367,161.970243807724,0.894873060375488,50.825703072564,54.2542745011355,60.7802485514926,-129.031873997112,1658.08626125306,1661.51483268163,1668.04080673199,0.885941251906947,60.0832152844829,66.7498819511496,72.5263971331436,-651.657568477829,1803.66755730125,1810.33422396792,1816.11073914991,0,0.998069037227305,1.06177452464554e-22,0,0,0.00193096277269478
249,0.723411814212887,1693.98715918134,1698.78715918134,1703.94170466027,0.969739342274701,152.015698328796,156.815698328796,161.970243807724,0.789410426836859,50.825703072564,55.625703072564,60.7802485514926,-465.796589798505,1658.08626125306,1662.88626125306,1668.04080673199,0.77151828863058,60.0832152844829,70.0832152844829,72.5263971331436,-2341.95113887539,1803.66755730125,1813.66755730125,1816.11073914991,0,0.999275103205473,1.06305757229343e-22,0,0,0.000724896794527386
255,0.723411814212887,1693.98715918134,1698.78715918134,1703.94170466027,0.969739342274701,152.015698328796,156.815698328796,161.970243807724,0.787762694763554,50.825703072564,55.625703072564,60.7802485514926,-575.507869317173,1658.08626125306,1662.88626125306,1668.04080673199,0.769730561734456,60.0832152844829,70.0832152844829,72.5263971331436,-2892.61533161659,1803.66755730125,1813.66755730125,1816.11073914991,0,0.999275103205473,1.06305757229343e-22,0,0,0.000724896794527386
253,0.723411814212887,1693.98715918134,1697.98715918134,1703.94170466027,0.969739342274701,152.015698328796,156.015698328796,161.970243807724,0.826809522507673,50.825703072564,54.825703072564,60.7802485514926,-1418.64621286389,1658.08626125306,1662.08626125306,1668.04080673199,0.812094891043448,60.0832152844829,68.0832152844829,72.5263971331436,-7124.50559262942,1803.66755730125,1811.66755730125,1816.11073914991,0,0.998679938614625,1.06242441909766e-22,0,0,0.00132006138537475
259,0.723411814212887,1693.98715918134,1705.98715918134,1703.94170466027,0.969739342274701,152.015698328796,164.015698328796,161.970243807724,0.540494048832122,50.825703072564,62.825703072564,60.7802485514926,-3182.39521184541,1658.08626125306,1670.08626125306,1668.04080673199,0.50145344553248,60.0832152844829,100.083215284483,72.5263971331436,-15977.136087719,1803.66755730125,1843.66755730125,1816.11073914991,0,0.999999991878542,1.06382872969595e-22,0,0,8.12145822870072e-09
262,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.906294893006873,50.825703072564,53.4923697392307,60.7802485514926,-144.762195869247,1658.08626125306,1660.75292791973,1668.04080673199,0.898333507740869,60.0832152844829,65.0832152844829,72.5263971331436,-730.611391943212,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
247,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.891684571663201,50.825703072564,53.4923697392307,60.7802485514926,-106.44204725052,1658.08626125306,1660.75292791973,1668.04080673199,0.882481862409534,60.0832152844829,65.0832152844829,72.5263971331436,-538.274434454141,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
250,0.723411814212887,1693.98715918134,1696.98715918134,1703.94170466027,0.969739342274701,152.015698328796,155.015698328796,161.970243807724,0.888172214725527,50.825703072564,53.825703072564,60.7802485514926,-61.0624346486679,1658.08626125306,1661.08626125306,1668.04080673199,0.878671088153211,60.0832152844829,65.7975009987686,72.5263971331436,-310.504529208841,1803.66755730125,1809.38184301554,1816.11073914991,0,0.997492351358599,1.06116102964542e-22,0,0,0.00250764864140134
256,0.723411814212887,1693.98715918134,1698.78715918134,1703.94170466027,0.969739342274701,152.015698328796,156.815698328796,161.970243807724,0.843717060667649,50.825703072564,55.625703072564,60.7802485514926,-105.581954787103,1658.08626125306,1662.88626125306,1668.04080673199,0.830438929619576,60.0832152844829,70.0832152844829,72.5263971331436,-533.957447867816,1803.66755730125,1813.66755730125,1816.11073914991,0,0.999275103205473,1.06305757229343e-22,0,0,0.000724896794527386
251,0.723411814212887,1693.98715918134,1697.98715918134,1703.94170466027,0.969739342274701,152.015698328796,156.015698328796,161.970243807724,0.499584775257697,50.825703072564,54.825703072564,60.7802485514926,-677059.144185634,1658.08626125306,1662.08626125306,1668.04080673199,0.457068433032723,60.0832152844829,68.0832152844829,72.5263971331436,-3398307.53646897,1803.66755730125,1811.66755730125,1816.11073914991,0,0.998679938614625,1.06242441909766e-22,0,0,0.00132006138537475
257,0.723411814212887,1693.98715918134,1701.98715918134,1703.94170466027,0.969739342274701,152.015698328796,160.015698328796,161.970243807724,0.655385253398844,50.825703072564,58.825703072564,60.7802485514926,-5970.78588070317,1658.08626125306,1666.08626125306,1668.04080673199,0.626106051292608,60.0832152844829,80.0832152844829,72.5263971331436,-29972.6605538464,1803.66755730125,1823.66755730125,1816.11073914991,0,0.999975790860127,1.06380298395706e-22,0,0,2.42091398732472e-05
260,0.723411814212887,1693.98715918134,1696.653825848,1703.94170466027,0.969739342274701,152.015698328796,154.682364995462,161.970243807724,0.870379928120148,50.825703072564,53.4923697392307,60.7802485514926,-2730.92017771133,1658.08626125306,1660.75292791973,1668.04080673199,0.859367131021284,60.0832152844829,65.0832152844829,72.5263971331436,-13711.0870879719,1803.66755730125,1808.66755730125,1816.11073914991,0,0.996967778018865,1.06060297345124e-22,0,0,0.00303222198113478
